STB,Analista,Turno,Fecha,Canal,Video,Audio Pri,Audio Sec,Logo,EPG,Novedad
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 118 - NTN 24","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 119 - El Tiempo","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 120 - Cablenotic","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 121 - BBCNewsHD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 122 - CNNIntern","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 123 - AlJazeera HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 125 - MTV HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 128 - HTV","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 129 - TelehitHD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 130 - TelehitU HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 131 - Migente","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 134 - Allegro HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 135 - MAXANIME HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 136 - Gourmet HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 137 - FoodNet HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 138 - ALACOCINA","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 141 - NuestraTel","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 142 - Estrellas HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 143 - E!Enterta HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 144 - Telemundo HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 145 - HolaTV HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 146 - AMCSERIES HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 147 - SHOWBUS","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 148 - Univision","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 149 - MASTALK","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 150 - CARAS HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 151 - Bloomberg HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 152 - BitMe HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 153 - Sun HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 154 - AGROT HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 155 - MYZEN HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 156 - Antena3 HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 157 - DW Latin","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 158 - TVE","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 159 - 24HS HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 160 - France24 HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 161 - EURONEWS HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 162 - TV 5 HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 163 - UCL HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 164 - GolfCh HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 165 - Theater HD","V OK","A1 OK","A2 OK","L OK","E OK",""
